company_id,company,domain,fit_score,source_url,name_guess,role_guess,snippet
"330024526569","Russell Group","russellco.com","82","https://russellco.com/diversity","","DIVERSITY, EQUITY","CONSTRUCTION REAL ESTATE DEVELOPMENT PROJECTS & MARKETS ABOUT US CAREERS LOCATIONS NEWS CONTACT DIVERSITY PRACTICES CULTURE, DIVERSITY, EQUITY & INCLUSION PRACTICES: Russell is stronger as a company when our team members are heard, empowered, and included. We believe we should use our business to co"
"329637528263","C.W. Driver Companies","cwdriver.com","76","https://cwdriver.com","Driver
People","Diversity, Equity & Inclusion","ABOUT US About C.W. Driver People Diversity, Equity & Inclusion Giving Back Affiliates Safety Rankings Awards Foundation Scholarship Program National Builders Alliance EXPERTISE SERVICES CAREERS NEWS CONTACT US BUILD WITH US & SUPPLIER DIVERSITY C.W. Driver JOIN OUR TEAM Builders for over a century "
"325786021616","W.E. O'Neil Construction","weoneil.com","74","https://weoneil.com/diversity-equity-inclusion","Honoring Women","Diversity and Community Engagement Forum in Chicago","SKIP TO CONTENT Diversity, Equity, Inclusion, Belonging WE ARE COMMITTED As part of our company Vision “WE Value People, WE Build Dreams,” we are committed to fostering inclusion and allyship for our employees, clients, partners, and trade partner communities. DIVERSITY, EQUITY, INCLUSION, BELONGING"
"330024526568","VJS Construction Services","vjscs.com","73","https://vjscs.com/about-us/diversity","","DIVERSITY, EQUITY","262.542.9000 HOME ABOUT US EXPERIENCE SERVICES COMMUNITY FOUNDATION NEWS ABOUT US As a family company, we believe each project is an opportunity to unite the shared values of all those building it and use it to create something incredibly meaningful. WHY WE EXIST Building with Purpose. We devote tal"
"326331157190","THE HASKELL COMPANY","haskell.com","72","https://haskell.com/supplier-diversity","Fostering Supplier","Diversity","Skip to content Supplier Diversity Vital to Economic Growth, Community Development Participating in events like the First Coast Business Alliance’s Minority Enterprise Development (MED) Week 2023 is one of many ways Haskell connects with businesses that are owned and operated by individuals who are "
"329642923706","Weitz Company","weitz.com","70","https://weitz.com/diversity","Weitz
HOME","Diversity, Equity, & Inclusion At Weitz","Weitz HOME ABOUT WEITZWAY EXPERTISE & OFFICES PROJECTS NEWSROOM CAREERS CONTACT Diversity, Equity, & Inclusion At Weitz Our Commitment to Build A Better Way The Weitz Company’s commitment to a diverse workforce, cultivating an inclusive environment and working with small and diverse trade partners a"
"326311681776","CONSIGLI CONSTRUCTION CO., INC.","consigli.com","68","https://consigli.com/diversity","","DIVERSITY, EQUITY","Consigli Construction MENU PROTECTED: DIVERSITY, EQUITY & INCLUSION This content is password-protected. To view it, please enter the password below. Password:    NEWS Laura Bush Named a 2023 Construction Champion – Industry Veteran by Construction Dive READ > Gabe Mater Appointed to Wentworth Instit"
"329727474366","Miron Construction","miron-construction.com","68","https://miron-construction.com/diversity","","DIVERSITY, EQUITY","OUR COMPANY OUR EXPERIENCE OUR SERVICES OUR NEWSROOM BID OPPORTUNITIES JOIN THE TEAM BLOG CONTACT US EMPLOYEE LOGIN    DIVERSITY, EQUITY, AND INCLUSION COMMITMENT STATEMENT Miron Construction Co., Inc. continuously advances toward the more equitable inclusion of all people. We know that diversity dr"
"329713093319","JRM Construction Management","jrmcm.com","60","https://jrmcm.com/diversity","Pages
About","Diversity, Equity, & Inclusion","EXPERTISE PROJECTS CAREERS MENU 404: Oops! We can't find the page you're looking for. 404 I'm sorry, we have never heard of that page. BACK TO MAIN SITE Explore one of these pages instead: Pages About Us Our People JRM Gives Diversity, Equity, & Inclusion Expertise View Our Latest Work News JRM West"
"332195847885","Graycor","graycor.com","58","https://graycor.com/diversity","In Our","Diversity, Equity & Inclusion (DEI) Council with a specific vision an","GRAYCOR NEWS VIEW ALL NEWS APRIL 20, 2022 Diversity at Graycor: In Our Own Words CATEGORY Stories   In 2021 Graycor created a Diversity, Equity & Inclusion (DEI) Council with a specific vision and purpose. With the full support and guidance of Executive Leadership, the DEI Council created an action "
"343812758219","Turner Construction","tcco.com","58","https://tcco.com","","Diversity, Equity","CONTACT US ADDITIONAL INFORMATION Thanks for your interest in Turner. Whether you are looking to start a project, get support, or just have a general question, we want to hear from you. Drop us a line and we will get back to you.   HEADQUARTERS Turner Construction Company 66 Hudson Boulevard East Ne"
"329727474412","Batson-Cook","batson-cook.com","56","https://batson-cook.com/diversity","","diversity, equity","Skip to content PORTFOLIO SERVICES ABOUT CAREERS NEWS HEALTH AND SAFETY CULTURE CONTACT DIVERSITY & INCLUSION DIVERSITY & INCLUSION Our first core value perfectly encapsulates the importance of diversity and inclusion at Batson-Cook Construction: We care about people, all people, and the positive re"
"329324653263","Juneau Construction","juneaucc.com","55","https://juneaucc.com/about/diversity","","SUPPLIER DIVERSITY","MENU DIVERSITY & INCLUSION Our mission is to foster an inclusive environment that celebrates the diverse voices of our employees and the communities that we serve. INCLUSIVE CULTURE & WORKFORCE We are driven by our unwavering commitment to create an environment where all members of our family feel v"
"331825958637","Elaine Construction","elaine.com","55","https://elaine.com","Business Enterprise","Supplier Diversity Office (SDO)","Skip to content ELAINE CONSTRUCTION  : :  BUILDING FOR TOMORROW ABOUT ELAINE Elaine Construction Company is certified on a national level as a Women Business Enterprise by WBENC - Women’s Business Enterprise National Council and by the State of MA as a WBE by the Massachusetts Supplier Diversity Off"
"331825740533","Morley Builders","morleybuilders.com","52","https://morleybuilders.com/diversity","","Diversity, Equity","Toggle navigation Diversity, Equity & Inclusion Together, we build a better future. Morley Builders was founded on the values of integrity, honesty, respect for others, and ethical behavior.  We continue to build a diverse, equitable, and inclusive culture that fuels our innovation, and connects us "
"337019640557","The Norwood Company","norwoodco.com","39","https://norwoodco.com/about/diversity","Home
Projects","Diversity, Equity & Inclusion","Skip to main content Home Projects About Us Expertise NCS – Special Projects Technology Careers Contact Us Search Diversity, Equity & Inclusion Back to About Us Our people are our most valuable asset. We understand it is our collective differences and similarities that make Norwood who we are. Our v"
